oras,siruta,cod,cod_functional,sectiune,coloana,valoare_veche,valoare_noua,raport,raport_relativ,semnatura,vechi_verificat,nou_verificat,pagina_noua,prioritate
Oradea,26564,55.01.12,70.02,,trim4,325.66,3218.00,9.881,10.82,outlier,True,True,17,46.2
Oradea,26564,55.01,70.02,,trim4,325.66,3218.00,9.881,10.82,outlier,True,True,17,46.2
Oradea,26564,70.02.05,,,trim4,325.66,3218.00,9.881,10.82,outlier,True,True,19,46.2
Oradea,26564,55,70.02,,trim4,325.66,3218.00,9.881,10.82,outlier,True,True,17,46.2
Oradea,26564,70.02.05.01,,,trim4,325.66,3218.00,9.881,10.82,outlier,True,True,19,46.2
Oradea,26564,20.30.30,70.02,,trim1,284.00,2773.70,9.767,10.7,outlier,True,True,17,44.2
Oradea,26564,71.01.30,67.02,,trim1,782.65,6250.56,7.986,8.747,outlier,True,True,14,43.3
Oradea,26564,67.02.06,,,est2027,410.40,3643.50,8.878,9.723,outlier,True,True,15,42.6
Oradea,26564,81.04,84.02,,trim1,458.84,3672.00,8.003,8.765,outlier,True,True,22,38.5
Oradea,26564,59.22,67.02,,trim1,15.00,215.00,14.33,15.7,outlier,True,True,14,37.9
Oradea,26564,20.02,68.02,,trim2,44.00,4.00,0.09091,0.09957,decimal_shift,True,True,15,35.9
Oradea,26564,20.05.01,65.02,,trim4,43.00,2.00,0.04651,0.05094,outlier,True,True,10,34.9
Oradea,26564,71.01.03,54.02,,trim2,20.00,250.00,12.5,13.69,outlier,True,True,7,34.1
Oradea,26564,71,54.02,,trim2,20.00,250.00,12.5,13.69,outlier,True,True,7,34.1
Oradea,26564,71.01,54.02,,trim2,20.00,250.00,12.5,13.69,outlier,True,True,7,34.1
Oradea,26564,70,54.02,,trim2,20.00,250.00,12.5,13.69,outlier,True,True,7,34.1
Oradea,26564,71.01.30,51.02,,trim3,2820.00,317.20,0.1125,0.1232,outlier,True,True,6,33.6
Oradea,26564,20.01.08,67.02,,trim3,23.00,1.00,0.04348,0.04762,outlier,True,True,13,33.5
Oradea,26564,20.05,67.02,,trim4,135.74,10.00,0.07367,0.08069,outlier,True,True,13,27.3
Oradea,26564,10.01.13,51.02,,trim3,1.00,9.00,9,9.857,decimal_shift,True,True,5,26.9
Oradea,26564,20.05.30,67.02,,trim4,130.74,10.00,0.07649,0.08377,outlier,True,True,13,26.2
Oradea,26564,20.05,61.02,,trim3,129.00,10.00,0.07752,0.0849,outlier,True,True,8,25.7
Oradea,26564,70,74.02,,trim1,40.00,302.20,7.555,8.275,outlier,True,True,19,21.4
Oradea,26564,20.05.03,65.02,,trim2,53.00,5.00,0.09434,0.1033,outlier,True,True,10,17.9
Oradea,26564,71.01.01,65.02,,trim4,21.00,2.00,0.09524,0.1043,outlier,True,True,11,15.1
Oradea,26564,71.01.01,67.02,,trim4,20.00,2.00,0.1,0.1095,outlier,True,True,14,14.2
Iași,95060,58,99.02,Varsaminte din sectiunea de functionare,est2026,24420.86,3.25,0.0001331,0.0001339,outlier,True,True,55,50395.2
Iași,95060,67.10.05.01,,Varsaminte din sectiunea de functionare pentru finantarea sectiunii de dezvoltare a bugetelui local,est2027,11356.69,30.00,0.002642,0.002659,outlier,True,False,77,17034.8
Iași,95060,67.10.05.01,,Varsaminte din sectiunea de functionare pentru finantarea sectiunii de dezvoltare a bugetelui local,est2026,11068.90,30.00,0.00271,0.002728,outlier,True,False,77,16506.3
Iași,95060,70,99.02,Varsaminte din sectiunea de functionare,credite_restante,17.85,35922.24,2012,2026,outlier,True,True,55,14955.8
Iași,95060,71,99.02,Varsaminte din sectiunea de functionare,credite_restante,17.85,35922.24,2012,2026,outlier,True,True,55,14955.8
Iași,95060,01,,Varsaminte din sectiunea de functionare pentru finantarea sectiunii de dezvoltare a bugetelui local,est2027,511974.39,13855.77,0.02706,0.02724,outlier,True,False,73,4074.8
Iași,95060,20,99.10,Varsaminte din sectiunea de functionare pentru finantarea sectiunii de dezvoltare a bugetelui local,est2027,1426.66,222594.11,156,157,outlier,False,False,72,3568.1
Iași,95060,20,99.10,Varsaminte din sectiunea de functionare pentru finantarea sectiunii de dezvoltare a bugetelui local,est2026,1390.50,215373.88,154.9,155.9,outlier,False,False,72,3514.4
Iași,95060,74.02,,Varsaminte din sectiunea de functionare,credite_restante,34.63,8756.70,252.9,254.5,outlier,False,False,38,2716.5
Iași,95060,74.02,,Varsaminte din sectiunea de functionare pentru finantarea sectiunii de dezvoltare a bugetelui local,credite_restante,34.63,8685.30,250.8,252.4,outlier,False,False,50,2689.4
Iași,95060,61.10,,Varsaminte din sectiunea de functionare,est2026,49130.99,392.02,0.007979,0.008031,outlier,False,True,79,1978.3
Iași,95060,67.02.03.03,,Varsaminte din sectiunea de functionare,est2027,16.00,6331.00,395.7,398.3,outlier,True,True,35,1975.4
Iași,95060,61.10,,Varsaminte din sectiunea de functionare,est2027,50408.42,408.09,0.008096,0.008148,outlier,False,True,79,1961.6
Iași,95060,67.02.03.03,,Varsaminte din sectiunea de functionare,est2026,16.00,6081.32,380.1,382.6,outlier,True,True,35,1880.4
Iași,95060,65.10.03.01,,Varsaminte din sectiunea de functionare pentru finantarea sectiunii de dezvoltare a bugetelui local,est2026,386.95,14973.80,38.7,38.95,outlier,True,False,75,1879.2
Iași,95060,65.10.03.01,,Varsaminte din sectiunea de functionare pentru finantarea sectiunii de dezvoltare a bugetelui local,est2027,394.36,14450.10,36.64,36.88,outlier,True,False,75,1765.0
Iași,95060,79.02,,Varsaminte din sectiunea de functionare,credite_restante,99.76,21836.18,218.9,220.3,outlier,True,True,38,1449.2
Iași,95060,67.10.05.01,,67.10.03 67.10.03.03 Servicii culturale Muzee,est2027,42.27,10850.02,256.7,258.4,outlier,True,True,70,1447.6
Iași,95060,67.10.05.01,,67.10.03 67.10.03.03 Servicii culturale Muzee,est2026,41.20,10422.69,253,254.6,outlier,True,True,70,1413.7
Iași,95060,74.02.05,,Varsaminte din sectiunea de functionare,credite_restante,34.63,8756.70,252.9,254.5,outlier,True,True,38,1358.3
